dataset,K-means (Euclidean),K-medoids (Euclidean),K-shape,K-means (DTW),C-means (Euclidean),TADPole,Density Peaks (Euclidean),Agglomerative (Euclidean)
PigAirwayPressure,0.06723967473264,0.059943857499819994,0.10308059385705999,not available,0.07220115989286,not available,0.069582,0.07237786796024503
HandOutlines,0.7234422616984,0.6849014288982,0.6956584324762,not available,0.6649283995540001,not available,0.690284,0.714104125373783
SyntheticControl,0.6769786981900999,0.47991747902489995,0.677105906283,not available,0.6316082542919,not available,0.446927,0.7083204198372189
SmallKitchenAppliances,0.4536760166973,0.4212804730329,0.5701698823066,not available,0.3395242496299,not available,0.493188,0.5490398898881707
FreezerRegularTrain,0.6444693977141,0.6345448535932,0.6388747802252001,not available,0.6439278134390001,not available,0.637047,0.6294592267290899
EOGHorizontalSignal,0.2875395119495,0.27462416766380005,0.2331169286283,not available,0.2521964397003,not available,0.269923,0.312435385342544
ShapesAll,0.3766326001045,0.330153094402,0.3861557798003,not available,0.1400755850227,not available,0.213852,0.3923231669528717
FiftyWords,0.2986995303998,0.2728659815078,0.30868727322850004,not available,0.2292308600058,not available,0.305439,0.35122182379598926
SemgHandGenderCh2,0.6072249455032,0.5854738363958,0.5819394436578,not available,0.5912200244630001,not available,0.703066,0.6269560163691886
Symbols,0.7121881045713,0.6665000608723,0.7660803040168,not available,0.7343344719575999,not available,0.573832,0.7434701391780966
Chinatown,0.6376225886298,0.64687204901,0.6697692023809,not available,0.6408364317400002,not available,0.607675,0.653156146179402
OliveOil,0.6586303637548001,0.5799562504486,0.6410297313802,not available,0.7927724960333,not available,0.521557,0.742346855264375
FaceAll,0.2832120419962,0.2771777619199,0.4993869078779,not available,0.23616811542660004,not available,0.391498,0.3429198344139334
EOGVerticalSignal,0.1914621100733,0.1972349792835,0.2124619243684,not available,0.169926712576,not available,0.24527,0.19605090397965655
