dataset,K-means (Euclidean),K-medoids (Euclidean),K-shape,K-means (DTW),C-means (Euclidean),TADPole,Density Peaks (Euclidean),Agglomerative (Euclidean)
ProximalPhalanxOutlineCorrect,0.06656549673050002,0.06139491330057999,0.06735458015792001,0.054255,0.06825587259980001,0.10812,0.055994,0.04830627683535696
Wine,-0.004513880489546001,-0.004926816929762,-0.005187919471710001,-0.005188,-0.00785043781597,-0.006639,0.004973,-0.006638896120801813
Coffee,0.343753314545652,0.5439186578909,0.163796818542443,-0.011516,0.8133783482078,1.0,1.0,0.6688456906932737
NonInvasiveFetalECGThorax2,0.4959781090882999,0.45349848905129997,0.4563143723751,0.487518,0.1937792659389,0.167042,0.218357,0.5406648352727068
StarLightCurves,0.5198942430943999,0.34596092007922996,0.5337102375196999,0.527543,0.5155315426569999,0.675615,0.539736,0.5057016043645683
Herring,0.004474370223442,0.0016088584362459995,0.004382399240903999,0.00297,-0.0014566162726500002,0.025292,-0.01142,0.019524775656751613
HouseTwenty,0.11390566318338999,0.11457312471477199,0.1073438021885,0.183227,0.11608904243038001,-0.006238,0.16102,0.06729499933642895
Computers,0.0009068486598005001,0.0011476444761276,0.06762890400268,0.001142,-0.0009129496963785802,0.011502,-0.000698,-0.0017185619338981634
MixedShapesRegularTrain,0.4408311028788,0.30174319966080004,0.4434714166700999,0.465621,0.3807495340633,0.129891,0.383686,0.5465294074862366
ProximalPhalanxTW,0.399615261394,0.3984969294449999,0.44118579236120004,0.323053,0.37988114710800003,0.329783,0.25324,0.4210130651492452
LargeKitchenAppliances,0.015179651947088002,0.01670603509345,0.008521800133068,0.027679,0.02265362507923,0.056022,0.013027,0.02323995662361845
UMD,0.1535300701642,0.1283142555705,0.14202546854470002,0.151809,0.15251120738520002,0.213789,0.12074,0.14163942146449449
ProximalPhalanxOutlineAgeGroup,0.4242385347541,0.425904907444,0.4950452797207999,0.567211,0.5125873127662999,0.024886,0.349036,0.5229769662281334
ChlorineConcentration,-0.00028160128533329993,-0.0006644246635444,-0.000634432651292,0.000765,-0.000613814059649,-0.000676,-0.002363,-0.00473917046016331
Earthquakes,0.0012582869066722,0.0010834750336655,0.032994078836103,0.0,0.0018954821274423002,-0.092737,-0.004096,-0.008273111332614049
Crop,0.308140515785,0.2787981546287,0.07956850350615,0.307435,0.2774983110651,0.179003,0.178718,0.32738730334862304
ScreenType,0.01801929338324,0.012422644330836199,0.009433064605080001,0.012819,0.03306356196138,0.004965,0.001623,0.020959344118601418
TwoLeadECG,0.004077513075017999,0.0027720298286,0.08231642994563002,0.018213,0.00319781529118,0.032662,0.000125,0.0011523828443995617
PigArtPressure,0.157336060703,0.13906622887269998,0.0,0.140042,0.08511824302764,0.112405,0.148517,0.19216814476699626
SemgHandMovementCh2,0.1447046162048,0.1372581168815,0.048151647411052996,0.162347,0.1381700983559,0.001389,0.005909,0.1333036571545361
CinCECGTorso,0.14801956794870003,0.14125618956004,0.06079923025959,0.210585,0.04287848811894,0.336644,0.451496,0.129698427520793
MoteStrain,0.3883621313949,0.3642958015198502,0.6081127103599001,0.416786,0.4497191357499,0.001969,0.552682,0.3810911766386128
PigAirwayPressure,0.04882674310354,0.040795206411939997,0.006432021532643601,0.064339,0.05583907216976001,0.054304,0.044545,0.05433232095974461
HandOutlines,0.29250440344359996,0.27842513660153995,0.32495173777664005,0.035668,0.292870324754,0.00112,0.010898,0.38513467411267205
SyntheticControl,0.5884150877836001,0.34455335582660007,0.6030226271188001,0.640836,0.5186997223338,0.31478,0.26497,0.6126920568086943
SmallKitchenAppliances,0.002561488402179703,0.0268650698106497,0.0004389810052054,0.066384,0.003226066101502,0.000197,0.002248,0.0009881662847531594
FreezerRegularTrain,0.2883472559399,0.2549003419106,0.2772777986028,0.279248,0.286344979475,0.053646,0.274334,0.24379413616546622
EOGHorizontalSignal,0.20804722735529996,0.1968264121543,0.1420669022648,0.183189,0.1796229029843,-0.002327,0.0967,0.21588536430240962
ShapesAll,0.3561900175197,0.3110425081211,0.3552753619929,0.354478,0.05910543832534999,0.115077,0.120221,0.3684081391962586
FiftyWords,0.26168473096510003,0.23835641008660002,0.20046356499079998,0.40061,0.09205694612318001,0.277516,0.244773,0.3115306369871424
SemgHandGenderCh2,-0.0016426175620999999,0.004320172642226001,0.129725197403,-0.00331,-0.008556900913979999,-0.006023,0.008299,0.002688992806681738
Symbols,0.6369357069021,0.5771828013061,0.7076909770851,0.654996,0.6700509932995,0.818327,0.382462,0.6793689943504646
Chinatown,0.157072901219,0.19106030688299996,-0.049827661631200004,0.243675,0.17575866613700003,-0.076377,-0.071455,0.1560132890365448
OliveOil,0.5067386614758,0.40124782137779996,0.48743053511080003,0.359823,0.7019129458108001,0.145855,0.232852,0.6264867121940707
FaceAll,0.2190793830599,0.2071420723403,0.45096819872099997,0.26221,0.04015579443174,0.138031,0.29896,0.28280394314706564
EOGVerticalSignal,0.09952306566167,0.10628030385461,0.11149957696497,0.103053,0.08722236853832001,0.133095,0.086158,0.08041227596426423
